TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
2,F,1,1,2,3,0,1,,1,,,,,,,4105508,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,413.0,545.1,516.1,434.5,0,1.0,120.0,120.0,80.0,120.0,20.0,B,D,A,F,3,B,A,C,C,B,A,B,C,B,A,B,A,B,B,A,A,D,A,B,B
8,M,1,1,1,1,6,1,,0,,,,,,,4113700,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,540.6,632.6,624.8,674.9,0,1.0,140.0,180.0,120.0,120.0,100.0,F,E,D,B,4,H,A,C,D,B,B,B,B,B,A,B,A,B,C,A,A,D,A,B,B
2,M,1,3,1,2,0,2,1.0,0,,,,,,,4106902,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,440.6,473.2,477.6,577.7,0,1.0,120.0,120.0,120.0,120.0,100.0,H,E,C,B,2,B,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,A
4,M,1,1,1,1,2,1,,0,,,,,,,4125506,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,550.0,529.9,602.2,493.0,0,1.0,120.0,200.0,120.0,140.0,100.0,G,F,D,F,2,L,A,C,C,B,A,B,B,B,A,B,A,B,C,B,B,C,B,C,B
2,M,1,3,1,2,0,3,1.0,0,4118501.0,41.0,PR,4.0,1.0,1.0,4118501,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,619.7,648.8,634.7,679.8,0,1.0,160.0,160.0,140.0,160.0,160.0,G,G,D,B,4,L,A,D,D,C,A,C,A,B,B,B,B,B,D,B,B,E,A,C,B
1,F,1,3,1,3,0,1,,1,,,,,,,4119905,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,421.4,432.1,339.9,574.5,0,1.0,120.0,140.0,120.0,100.0,40.0,B,E,C,F,6,D,A,B,C,B,A,B,A,B,A,B,A,B,B,A,A,E,A,B,B
2,M,1,1,1,2,0,2,1.0,0,4101408.0,41.0,PR,2.0,1.0,1.0,4101408,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,511.0,426.5,460.4,502.2,0,1.0,120.0,160.0,120.0,120.0,160.0,D,E,A,B,5,C,A,C,D,B,B,B,B,B,B,A,A,B,B,B,A,D,A,B,B
2,F,1,1,1,2,0,2,1.0,0,4106902.0,41.0,PR,2.0,1.0,1.0,4106902,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,483.5,420.5,416.5,405.1,0,1.0,120.0,100.0,80.0,100.0,0.0,B,B,A,B,3,B,A,B,C,B,A,B,B,A,A,B,A,A,C,A,A,D,A,A,B
2,M,1,1,1,2,0,3,1.0,0,4106902.0,41.0,PR,4.0,1.0,1.0,4106902,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,536.2,551.7,529.0,636.2,1,1.0,120.0,160.0,120.0,120.0,120.0,F,E,E,D,4,H,A,B,C,B,B,B,A,B,A,B,A,B,C,A,A,E,B,B,B
3,M,1,1,1,2,0,2,1.0,0,4105805.0,41.0,PR,1.0,1.0,1.0,4105805,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,622.7,664.6,582.8,836.1,0,1.0,140.0,200.0,160.0,120.0,160.0,E,F,F,B,3,G,A,B,D,C,A,B,B,B,B,B,A,B,E,A,A,D,B,D,B
6,M,0,1,1,1,3,1,,0,,,,,,,4113700,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,613.1,671.1,599.3,755.3,0,1.0,140.0,160.0,120.0,140.0,100.0,G,F,E,E,2,M,B,C,D,A,A,B,B,B,A,B,A,B,B,A,B,C,A,C,B
1,F,1,3,1,3,0,1,,1,,,,,,,4128104,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,466.6,571.3,545.0,591.2,0,1.0,160.0,200.0,120.0,180.0,200.0,C,G,C,D,6,H,A,B,D,B,B,B,A,B,A,B,A,A,B,A,A,C,A,B,B
2,F,1,1,1,2,0,3,1.0,0,,,,,,,4120606,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,555.4,556.8,592.7,560.7,0,1.0,140.0,180.0,140.0,120.0,80.0,G,G,D,E,4,K,A,C,D,B,A,B,A,B,A,B,A,A,B,A,A,D,A,C,B
2,F,1,3,1,2,0,2,1.0,0,4125506.0,41.0,PR,2.0,1.0,1.0,4125506,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,430.3,466.2,478.1,449.8,0,1.0,120.0,200.0,120.0,120.0,120.0,E,E,B,B,3,B,A,C,D,B,A,B,A,B,A,B,A,A,C,A,A,C,A,A,B
4,F,1,1,1,1,2,1,,0,,,,,,,4110706,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,454.1,518.7,490.5,499.5,0,1.0,100.0,140.0,120.0,100.0,120.0,D,C,C,B,3,F,A,C,D,B,A,C,C,B,B,B,A,B,E,B,B,D,A,A,B
3,F,1,3,1,2,0,2,1.0,0,,,,,,,4105904,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,426.8,456.3,503.3,507.1,0,1.0,120.0,180.0,120.0,120.0,120.0,E,E,B,B,4,D,A,C,C,B,A,A,B,B,A,A,A,A,B,A,A,C,A,A,B
3,M,1,1,1,1,1,1,,0,,,,,,,4114609,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,413.0,515.6,527.4,630.7,0,1.0,80.0,180.0,120.0,120.0,80.0,E,D,C,C,4,C,A,C,D,B,A,B,B,B,A,B,A,A,B,A,A,D,A,B,B
2,F,1,3,1,2,0,2,1.0,0,,,,,,,4106902,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,516.7,530.1,556.2,451.2,1,1.0,140.0,160.0,140.0,140.0,100.0,E,B,D,B,2,B,A,B,C,A,A,B,A,B,A,B,A,A,B,A,A,C,A,A,B
7,M,1,1,1,1,5,1,,0,,,,,,,4106902,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,452.3,527.2,508.2,637.1,0,1.0,120.0,200.0,120.0,140.0,160.0,H,E,D,B,2,C,A,B,C,B,A,B,B,B,B,B,A,B,B,A,A,C,B,C,B
2,F,1,1,1,2,0,2,1.0,0,4126355.0,41.0,PR,2.0,1.0,1.0,4115804,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,508.6,534.5,488.2,570.5,1,1.0,120.0,160.0,120.0,120.0,80.0,B,B,A,A,3,B,A,B,D,A,A,B,B,A,A,B,A,A,B,A,A,B,A,A,B
1,F,1,1,1,3,0,1,,1,,,,,,,4104808,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,480.2,537.6,556.0,470.0,0,1.0,140.0,200.0,140.0,160.0,140.0,G,G,D,D,4,H,A,D,D,D,A,B,C,B,A,B,A,B,C,B,B,E,A,B,B
1,F,1,1,1,3,0,1,,1,,,,,,,4119608,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,487.5,612.3,565.7,634.7,0,1.0,160.0,180.0,160.0,160.0,200.0,G,F,B,E,4,J,C,B,D,B,A,B,B,B,A,B,A,B,C,A,A,D,A,B,B
2,F,0,1,1,2,0,2,1.0,0,,,,,,,4118402,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,402.9,520.7,468.0,535.7,0,1.0,120.0,120.0,100.0,100.0,80.0,E,G,C,D,4,E,A,B,C,B,B,B,A,B,A,B,A,A,B,A,A,E,A,A,B
1,F,1,1,1,3,0,1,,1,,,,,,,4106902,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,523.4,568.9,568.2,678.7,1,1.0,160.0,180.0,160.0,160.0,160.0,D,E,C,C,5,F,A,C,D,B,A,B,B,B,A,B,A,B,C,B,B,E,B,B,B
3,F,1,1,1,2,0,2,1.0,0,4101705.0,41.0,PR,2.0,1.0,1.0,4104303,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,557.5,612.8,625.3,669.6,0,1.0,140.0,180.0,120.0,120.0,200.0,C,E,C,C,3,D,A,B,D,A,A,B,A,B,A,A,A,A,B,B,A,D,A,A,B
6,M,1,1,1,1,0,1,,0,,,,,,,4106902,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,588.3,586.3,545.9,454.6,0,1.0,120.0,40.0,40.0,80.0,40.0,H,H,F,F,1,D,A,B,B,A,A,B,A,B,A,B,B,B,B,A,A,B,A,A,B
1,F,1,3,1,3,0,1,,1,,,,,,,4125605,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,385.3,584.1,572.1,611.8,0,1.0,160.0,160.0,120.0,160.0,80.0,D,C,C,B,5,B,A,B,C,B,A,B,A,B,A,A,A,A,B,A,A,E,A,B,B
9,F,1,3,1,1,7,1,,0,,,,,,,4119905,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,654.1,664.6,641.6,736.4,0,1.0,140.0,180.0,120.0,160.0,180.0,E,E,C,D,2,G,A,B,C,B,A,B,B,B,A,B,A,B,B,A,A,C,A,C,B
6,F,1,1,1,2,0,2,1.0,0,,,,,,,4106902,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,423.0,536.9,465.6,453.1,0,1.0,160.0,180.0,120.0,120.0,160.0,B,B,B,B,3,C,A,B,C,A,A,B,A,B,A,B,A,A,B,A,A,D,A,B,B
16,M,3,2,1,1,16,1,,0,,,,,,,4108304,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,595.1,611.3,541.9,442.9,1,1.0,120.0,160.0,120.0,120.0,120.0,C,D,B,B,3,P,A,C,D,B,A,B,A,B,A,A,A,B,C,A,A,D,A,B,B
5,M,1,0,1,1,3,1,,0,,,,,,,4128104,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,488.7,417.4,513.4,678.8,1,1.0,120.0,120.0,80.0,120.0,0.0,C,E,A,B,3,C,A,B,D,B,D,B,A,B,B,B,A,A,A,A,A,D,A,C,B
3,F,1,1,1,1,1,1,,0,,,,,,,4124053,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,442.0,534.6,457.2,359.2,1,1.0,120.0,120.0,120.0,140.0,100.0,C,E,B,B,6,H,D,C,D,B,A,B,B,C,C,D,A,A,B,A,A,E,A,B,B
3,F,1,2,1,2,0,2,1.0,0,4106902.0,41.0,PR,2.0,1.0,1.0,4106902,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,429.3,449.5,418.1,483.0,0,1.0,120.0,140.0,100.0,120.0,60.0,E,E,C,B,5,B,A,C,D,B,A,B,B,B,A,B,A,B,B,A,A,D,B,C,B
